filename,cell_structure,symmetry_number,space_group_name_Hall,space_group_name_H-M,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c
1000039.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,15.263,15.263,15.263
1000040.cif,orthorhombic,46,Ima2,Ima2,90.0,90.0,90.0,5.588,14.61,5.38
1000041.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,5.62,5.62,5.62
1000043.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,5.462,5.462,5.462
1000044.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.799,4.799,4.799
1000047.cif,orthorhombic,61,Pbca,Pbca,90.0,90.0,90.0,18.251,8.814,5.181
1000048.cif,tetragonal,113,P-42_1m,P-42_1m,90.0,90.0,90.0,7.685,7.685,5.064
1000050.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,3.634,3.634,3.634
1000051.cif,trigonal,160,R3m,R3m,90.0,90.0,120.0,5.487,5.487,9.156
1000053.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,4.217,4.217,4.217
1000055.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,4.158,4.158,4.158
1000057.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,4.157,4.157,4.157
1000058.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,4.497,4.497,3.105
1000059.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,4.755,4.755,12.991
1000060.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,9.429,9.636,3.591
1000061.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,90.27,90.0,5.062,8.671,4.713
1000062.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,4.738,4.738,3.187
1000063.cif,cubic,224,Pn-3m,Pn-3m,90.0,90.0,90.0,4.252,4.252,4.252
1000064.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,4.819,10.479,6.087
1000066.cif,orthorhombic,47,Pmmm,Pmmm,90.0,90.0,90.0,3.841,3.883,11.671
1000067.cif,orthorhombic,60,Pbcn,Pbcn,90.0,90.0,90.0,4.666,17.444,4.994
1000068.cif,tetragonal,113,P-42_1m,P-42_1m,90.0,90.0,90.0,4.682,4.682,9.276
1000069.cif,tetragonal,113,P-42_1m,P-42_1m,90.0,90.0,90.0,4.682,4.682,9.275
1000070.cif,trigonal,161,R3c,R3c,90.0,90.0,120.0,5.156,5.156,13.664
1000071.cif,orthorhombic,71,Immm,Immm,90.0,90.0,90.0,13.335,4.08,3.836
1000073.cif,orthorhombic,68,Ccce,Ccce,90.0,90.0,90.0,8.789,8.768,12.958
1000074.cif,orthorhombic,68,Ccce,Ccce,90.0,90.0,90.0,8.759,8.728,12.896
1000075.cif,tetragonal,129,P4/nmm,P4/nmm,90.0,90.0,90.0,6.911,6.911,4.356
1000076.cif,tetragonal,86,P4_2/n,P4_2/n,90.0,90.0,90.0,10.268,10.268,18.373
1000082.cif,monoclinic,5,C2,C2,90.0,113.2,90.0,12.075,6.972,10.214
1000085.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,7.418,25.67,14.624
1000086.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,9.861,9.861,9.861
1000087.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,9.749,9.749,9.749
1000088.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,106.96,90.0,7.585,4.965,11.116
1000089.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,107.02,90.0,7.56,4.934,11.066
1000090.cif,orthorhombic,60,Pbcn,Pbcn,90.0,90.0,90.0,7.406,12.877,20.428
1000091.cif,tetragonal,87,I4/m,I4/m,90.0,90.0,90.0,8.663,8.663,16.525
1000092.cif,monoclinic,12,C2/m,C2/m,90.0,109.24,90.0,21.576,7.608,32.865
1000093.cif,orthorhombic,59,Pmmn,Pmmn,90.0,90.0,90.0,3.904,4.04,5.647
1000094.cif,triclinic,2,P-1,P-1,90.16,102.13,94.19,7.13,4.791,8.825
1000095.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,13.723,6.314,16.139
1000096.cif,cubic,203,Fd-3,Fd-3,90.0,90.0,90.0,20.44,20.44,20.44
1000098.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,18.303,5.312,9.42
1000099.cif,orthorhombic,61,Pbca,Pbca,90.0,90.0,90.0,7.416,13.082,9.483
1000103.cif,orthorhombic,20,C222_1,C222_1,90.0,90.0,90.0,12.343,7.152,22.679
1000104.cif,orthorhombic,30,Pnc2,Pnc2,90.0,90.0,90.0,7.532,14.867,14.573
1000105.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,105.0,90.0,20.181,5.625,9.438
1000106.cif,tetragonal,120,I-4c2,I-4c2,90.0,90.0,90.0,11.81,11.81,13.374
1000107.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.558,6.75,17.595
1000110.cif,tetragonal,129,P4/nmm,P4/nmm,90.0,90.0,90.0,10.184,10.184,7.174
1000111.cif,monoclinic,12,C2/m,C2/m,90.0,105.781,90.0,9.731,4.204,11.066
1000112.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.769,2.921,4.675
1000116.cif,monoclinic,12,C2/m,C2/m,90.0,100.9,90.0,11.609,3.688,9.629
1000117.cif,monoclinic,12,C2/m,C2/m,90.0,119.1,90.0,9.946,2.778,7.26
1000122.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,93.45,90.0,9.532,7.901,11.398
1000123.cif,tetragonal,91,P4_122,P4_122,90.0,90.0,90.0,9.539,9.539,17.141
1000124.cif,triclinic,2,P-1,P-1,96.174,90.26,101.273,5.57,6.674,7.903
1000125.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,5.042,5.042,6.156
1000126.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,5.043,5.043,6.157
1000127.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,5.043,5.043,6.157
1000129.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,13.717,5.605,4.933
1000130.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,92.426,90.0,5.152,19.567,7.557
1000131.cif,monoclinic,4,P2_1,P2_1,90.0,90.875,90.0,5.258,9.73,7.37
1000135.cif,orthorhombic,18,P2_12_12,P2_12_12,90.0,90.0,90.0,7.655,10.313,10.255
1000137.cif,monoclinic,12,C2/m,C2/m,90.0,94.9,90.0,10.606,5.874,7.213
1000141.cif,orthorhombic,52,Pnna,Pnna,90.0,90.0,90.0,4.901,8.489,5.182
1000142.cif,orthorhombic,52,Pnna,Pnna,90.0,90.0,90.0,4.726,8.659,5.231
1000144.cif,monoclinic,15,C2/c,C2/c,90.0,93.06,90.0,7.308,12.559,7.64
1000146.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,125.04,90.0,12.046,6.984,7.093
1000147.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,125.59,90.0,11.882,6.983,6.942
1000148.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,99.433,90.0,7.991,17.032,5.321
1000149.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.499,90.0,8.742,5.193,20.351
1000150.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.74,5.615,11.887
1000151.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.743,5.616,11.888
1000152.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.74,5.617,11.884
1000153.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.747,5.617,11.899
1000154.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.08,5.326,11.664
1000158.cif,monoclinic,15,C2/c,C2/c,90.0,115.46,90.0,8.586,6.291,7.381
1000159.cif,monoclinic,15,C2/c,C2/c,90.0,115.46,90.0,8.856,6.291,7.381
1000160.cif,monoclinic,15,C2/c,C2/c,90.0,115.46,90.0,8.856,6.291,7.381
1000161.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.515,5.724,11.985
1000162.cif,orthorhombic,32,Pba2,Pba2,90.0,90.0,90.0,12.75,12.637,3.986
1000164.cif,trigonal,166,R-3m,R-3m,57.43,57.43,57.43,7.31,7.31,7.31
1000165.cif,trigonal,166,R-3m,R-3m,58.8,58.8,58.8,7.106,7.106,7.106
1000166.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,5.043,5.043,6.164
1000167.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,4.63,4.63,8.935
1000168.cif,monoclinic,12,C2/m,C2/m,90.0,111.92,90.0,18.542,5.958,7.821
1000169.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.506,10.506,10.506
1000170.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.365,10.365,10.365
1000171.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.241,10.241,10.241
1000172.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.492,10.492,10.492
1000173.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.525,10.525,10.525
1000175.cif,tetragonal,120,I-4c2,I-4c2,90.0,90.0,90.0,11.666,11.666,12.551
1000176.cif,cubic,230,Ia-3d,Ia-3d,90.0,90.0,90.0,12.607,12.607,12.607
1000177.cif,cubic,230,Ia-3d,Ia-3d,90.0,90.0,90.0,12.693,12.693,12.693
1000179.cif,trigonal,167,R-3c,R-3c,58.85,58.85,58.85,5.372,5.372,5.372
1000180.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.017,5.013,9.841
1000182.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,5.088,5.088,12.732
1000183.cif,tetragonal,135,P4_2/mbc,P4_2/mbc,90.0,90.0,90.0,5.056,5.056,12.711
1000190.cif,cubic,204,Im-3,Im-3,90.0,90.0,90.0,7.645,7.645,7.645
1000191.cif,monoclinic,13,P2/c,P2/c,90.0,105.88,90.0,5.892,10.632,6.745
1000192.cif,monoclinic,13,P2/c,P2/c,90.0,105.88,90.0,5.892,10.632,6.745
1000194.cif,orthorhombic,28,Pma2,Pma2,90.0,90.0,90.0,5.332,11.13,5.455
1000198.cif,tetragonal,123,P4/mmm,P4/mmm,90.0,90.0,90.0,3.616,3.616,6.366
1000201.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,90.87,90.0,7.486,17.757,5.687
1000204.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.14,90.0,7.318,17.311,5.398
1000205.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.5,90.0,7.363,17.527,5.484
1000207.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,5.045,5.045,6.159
1000208.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,106.801,90.0,7.34,7.237,6.407
1000209.cif,cubic,230,Ia-3d,Ia-3d,90.0,90.0,90.0,12.498,12.498,12.498
1000210.cif,cubic,230,Ia-3d,Ia-3d,90.0,90.0,90.0,12.409,12.409,12.409
1000211.cif,cubic,230,Ia-3d,Ia-3d,90.0,90.0,90.0,12.328,12.328,12.328
1000212.cif,cubic,230,Ia-3d,Ia-3d,90.0,90.0,90.0,12.393,12.393,12.393
1000213.cif,cubic,230,Ia-3d,Ia-3d,90.0,90.0,90.0,12.326,12.326,12.326
1000214.cif,triclinic,2,P-1,P-1,82.98,73.88,70.42,7.49,10.031,10.271
1000215.cif,monoclinic,15,C2/c,C2/c,90.0,118.53,90.0,10.695,9.932,5.654
1000216.cif,monoclinic,9,Cc,Cc,90.0,118.53,90.0,10.695,9.932,5.654
1000217.cif,monoclinic,12,C2/m,C2/m,90.0,128.88,90.0,19.46,5.956,12.243
1000219.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.84,90.0,7.324,17.453,5.459
1000220.cif,monoclinic,12,C2/m,C2/m,90.0,101.47,90.0,16.982,11.372,7.663
1000221.cif,tetragonal,123,P4/mmm,P4/mmm,90.0,90.0,90.0,3.659,3.659,6.438
1000222.cif,tetragonal,123,P4/mmm,P4/mmm,90.0,90.0,90.0,3.649,3.649,6.414
1000224.cif,orthorhombic,30,Pnc2,Pnc2,90.0,90.0,90.0,10.528,7.797,12.816
1000225.cif,orthorhombic,60,Pbcn,Pbcn,90.0,90.0,90.0,7.795,12.813,10.524
1000227.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,7.564,10.901,6.732
1000228.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.325,10.325,10.325
1000230.cif,orthorhombic,44,Imm2,Imm2,90.0,90.0,90.0,7.475,10.766,6.594
1000231.cif,orthorhombic,44,Imm2,Imm2,90.0,90.0,90.0,7.451,10.747,6.524
1000232.cif,monoclinic,15,C2/c,C2/c,90.0,120.59,90.0,12.124,7.344,6.924
1000233.cif,tetragonal,99,P4mm,P4mm,90.0,90.0,90.0,3.867,3.867,7.656
1000234.cif,orthorhombic,47,Pmmm,Pmmm,90.0,90.0,90.0,3.841,3.883,11.671
1000235.cif,orthorhombic,60,Pbcn,Pbcn,90.0,90.0,90.0,10.491,8.09,7.997
1000236.cif,cubic,199,I2_13,I2_13,90.0,90.0,90.0,10.257,10.257,10.257
1000237.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,7.183,10.224,7.414
1000238.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,6.931,12.002,7.134
1000239.cif,tetragonal,102,P4_2nm,P4_2nm,90.0,90.0,90.0,4.679,4.679,9.324
1000242.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,6.523,6.523,5.831
1000243.cif,trigonal,148,R-3,R-3,90.0,90.0,120.0,5.42,5.42,14.072
1000244.cif,trigonal,148,R-3,R-3,90.0,90.0,120.0,5.394,5.394,14.146
1000245.cif,triclinic,2,P-1,P-1,86.585,87.046,86.138,7.793,7.74,7.744
1000246.cif,triclinic,2,P-1,P-1,86.483,86.968,85.687,7.799,7.714,7.721
1000248.cif,triclinic,2,P-1,P-1,94.37,93.16,115.86,6.937,7.229,7.456
1000249.cif,triclinic,2,P-1,P-1,94.39,93.2,115.82,6.924,7.218,7.437
1000250.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.869,3.869,12.664
1000251.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,5.662,5.809,8.758
1000252.cif,monoclinic,15,C2/c,C2/c,90.0,90.52,90.0,7.541,7.501,13.027
1000255.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,96.48,90.0,7.78,8.423,4.993
1000256.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,8.318,8.318,8.318
1000257.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,7.234,10.305,7.453
1000258.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,7.203,10.255,7.429
1000259.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,7.203,10.256,7.429
1000260.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,114.117,90.0,5.435,4.653,5.539
1000261.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,114.244,90.0,5.43,4.646,5.537
1000262.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,9.2,8.119,7.486
1000263.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,16.421,16.421,16.421
1000264.cif,orthorhombic,64,Cmce,Cmce,90.0,90.0,90.0,5.381,5.319,13.103
1000268.cif,orthorhombic,65,Cmmm,Cmmm,90.0,90.0,90.0,5.252,5.251,13.154
1000269.cif,monoclinic,15,C2/c,C2/c,90.0,124.32,90.0,17.184,9.886,15.037
1000270.cif,triclinic,2,P-1,P-1,97.68,118.76,99.81,7.703,10.703,12.216
1000272.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,12.211,7.496,7.635
1000273.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,5.088,5.088,12.725
1000274.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,5.089,5.089,12.718
1000275.cif,tetragonal,135,P4_2/mbc,P4_2/mbc,90.0,90.0,90.0,5.057,5.057,12.709
1000276.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,5.058,5.058,12.7
1000277.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,5.06,5.06,12.698
1000278.cif,monoclinic,12,C2/m,C2/m,90.0,101.75,90.0,16.892,11.331,7.646
1000280.cif,orthorhombic,64,Cmce,Cmce,90.0,90.0,90.0,13.215,5.943,5.938
1000281.cif,monoclinic,12,C2/m,C2/m,90.0,120.42,90.0,18.165,7.154,13.677
1000284.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,13.207,5.68,10.321
1000285.cif,orthorhombic,66,Cccm,Cccm,90.0,90.0,90.0,5.405,5.402,30.715
1000286.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,92.293,90.0,8.323,9.51,9.032
1000287.cif,triclinic,2,P-1,P-1,77.16,89.95,72.02,7.016,7.84,11.066
1000288.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,19.706,5.599,15.173
1000289.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,112.03,90.0,7.739,6.276,14.827
1000290.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.415,5.376,7.62
1000291.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.429,5.385,7.636
1000292.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.446,5.395,7.652
1000293.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.458,5.458,13.106
1000294.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.461,5.461,13.132
1000297.cif,cubic,206,Ia-3,Ia-3,90.0,90.0,90.0,16.135,16.135,16.135
1000298.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,13.005,6.475,10.614
1000299.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,8.647,8.647,8.647
1000300.cif,monoclinic,15,C2/c,C2/c,90.0,115.04,90.0,8.712,6.317,7.349
1000301.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.415,5.375,7.621
1000302.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.415,5.375,7.619
1000303.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.389,5.385,7.613
1000304.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.328,5.437,7.567
1000305.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,93.201,90.0,5.568,9.294,9.586
1000306.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,5.405,9.31,10.382
1000307.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.454,5.454,13.101
1000308.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.454,5.454,13.101
1000309.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.454,5.454,13.106
1000310.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.457,5.457,13.146
1000311.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.415,5.388,7.616
1000312.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.413,5.383,7.623
1000313.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.412,5.376,7.616
1000314.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.419,5.38,7.626
1000315.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.382,5.386,7.607
1000316.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.384,5.386,7.608
1000317.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.388,5.38,7.606
1000318.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.389,5.382,7.61
1000319.cif,tetragonal,137,P4_2/nmc,P4_2/nmc,90.0,90.0,90.0,5.506,5.506,21.029
1000323.cif,monoclinic,12,C2/m,C2/m,90.0,109.92,90.0,15.447,11.638,11.809
1000324.cif,monoclinic,15,C2/c,C2/c,90.0,114.234,90.0,22.672,13.075,14.996
1000325.cif,orthorhombic,55,Pbam,Pbam,90.0,90.0,90.0,7.359,23.09,5.705
1000326.cif,orthorhombic,60,Pbcn,Pbcn,90.0,90.0,90.0,4.75,17.606,5.062
1000327.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,8.253,8.253,8.253
1000328.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,8.109,8.109,8.109
1000329.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.063,5.567,14.88
1000332.cif,orthorhombic,57,Pbcm,Pbcm,90.0,90.0,90.0,5.172,13.755,5.518
1000333.cif,orthorhombic,74,Imma,Imma,90.0,90.0,90.0,12.586,7.495,5.812
1000334.cif,orthorhombic,34,Pnn2,Pnn2,90.0,90.0,90.0,5.074,4.907,8.408
1000337.cif,monoclinic,15,C2/c,C2/c,90.0,114.11,90.0,14.693,5.855,7.922
1000338.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,90.76,90.0,7.262,20.668,5.431
1000339.cif,tetragonal,100,P4bm,P4bm,90.0,90.0,90.0,8.74,8.74,8.136
1000340.cif,monoclinic,15,C2/c,C2/c,90.0,111.244,90.0,19.959,7.45,29.291
1000341.cif,monoclinic,9,Cc,Cc,90.0,126.67,90.0,11.446,9.304,7.252
1000344.cif,tetragonal,141,I4_1/amd,I4_1/amd,90.0,90.0,90.0,7.318,7.318,15.289
1000345.cif,orthorhombic,58,Pnnm,Pnnm,90.0,90.0,90.0,9.945,10.277,9.673
1000346.cif,triclinic,2,P-1,P-1,106.08,103.72,102.28,6.6,8.048,9.759
1000347.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.917,3.917,25.307
1000348.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,3.584,9.854,9.537
1000354.cif,trigonal,148,R-3,R-3,90.0,90.0,120.0,12.94,12.94,7.128
1000355.cif,monoclinic,7,Pc,Pc,90.0,106.78,90.0,5.935,10.282,13.368
1000356.cif,tetragonal,141,I4_1/amd,I4_1/amd,90.0,90.0,90.0,7.462,7.462,15.556
1000357.cif,orthorhombic,47,Pmmm,Pmmm,90.0,90.0,90.0,3.846,3.802,12.154
1000358.cif,orthorhombic,43,Fdd2,Fdd2,90.0,90.0,90.0,7.92,27.608,7.375
1000360.cif,orthorhombic,70,Fddd,Fddd,90.0,90.0,90.0,10.372,10.805,44.98
1000363.cif,orthorhombic,71,Immm,Immm,90.0,90.0,90.0,7.429,6.203,3.557
1000365.cif,tetragonal,130,P4/ncc,P4/ncc,90.0,90.0,90.0,6.21,6.21,12.963
1000366.cif,tetragonal,130,P4/ncc,P4/ncc,90.0,90.0,90.0,6.218,6.218,12.984
1000367.cif,tetragonal,130,P4/ncc,P4/ncc,90.0,90.0,90.0,6.23,6.23,13.015
1000368.cif,tetragonal,130,P4/ncc,P4/ncc,90.0,90.0,90.0,6.248,6.248,13.06
1000369.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,3.829,3.829,41.757
1000373.cif,monoclinic,4,P2_1,P2_1,90.0,110.29,90.0,6.399,3.59,7.22
1000376.cif,triclinic,2,P-1,P-1,89.75,105.79,89.38,20.118,5.597,9.44
1000378.cif,monoclinic,9,Cc,Cc,90.0,107.101,90.0,6.096,10.565,13.623
1000379.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,3.325,11.022,10.479
1000380.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,3.343,11.159,13.499
1000381.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.683,10.683,10.683
1000382.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.642,10.642,10.642
1000383.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.64,10.64,10.64
1000384.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.64,10.64,10.64
1000385.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.637,10.637,10.637
1000386.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.631,10.631,10.631
1000387.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,10.622,10.622,10.622
1000388.cif,orthorhombic,55,Pbam,Pbam,90.0,90.0,90.0,11.248,16.513,3.333
1000389.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,106.85,90.0,7.7,5.801,8.939
1000390.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,106.88,90.0,7.692,5.783,8.945
1000391.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,106.64,90.0,7.766,5.844,8.932
1000393.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,5.942,26.395,5.959
1000396.cif,cubic,198,P2_13,P2_13,90.0,90.0,90.0,9.155,9.155,9.155
1000398.cif,monoclinic,12,C2/m,C2/m,90.0,101.23,90.0,16.072,10.822,7.258
